,Special
〇,○
',
画,畫,划,劃
裤,褲
库,庫
绔,絝
轱,軲
喾,嚳
,kua
夸,誇
,kuai
块,塊
鲙,鱠
郐,鄶
侩,儈
哙,噲
浍,澮
脍,膾
狯,獪
,kuan
宽,寬
髋,髖
,kuang
况,況
旷,曠
矿,礦
纩,纊
诓,誆
贶,貺
邝,鄺
圹,壙
诳,誑
,kui
亏,虧
窥,窺
溃,潰
骙,騤
愦,憒
聩,聵
蒉,蕢
篑,簣
岿,巋
馈,餽,饋
,kun
昆,崑
捆,綑
困,睏
阃,梱
鲲,鯤
锟,錕
裈,褌
,kuo
扩,擴
阔,闊
,la
蜡,蠟
腊,臘
镴,鑞
,lai
来,來
赖,賴
癞,癩
莱,萊
梾,棶
赉,賚
籁,籟
睐,睞
濑,瀨
崃,崍
涞,淶
徕,徠
铼,錸
,lan
懒,懶
拦,攔
篮,籃
兰,蘭
滥,濫
蓝,藍
烂,爛
栏,欄
览,覽
榄,欖
澜,瀾
揽,攬
缆,纜
岚,嵐
阑,闌
斓,斕
谰,讕
褴,襤
襕,襴
镧,鑭
,lang
琅,瑯
锒,鋃
阆,閬
,lao
涝,澇
捞,撈
劳,勞
唠,嘮
铹,鐒
铑,銠
痨,癆
崂,嶗
,le
乐,樂
鳓,鰳
饹,餎
,lei
泪,淚
类,類
垒,壘
缧,縲
镭,鐳
诔,誄
,leng
棱,稜
,li
丽,麗
厉,厲
礼,禮
励,勵
隶,隸
离,離
狸,貍
璃,琍
历,曆,歷
里,裡,浬,裏
厘,釐
栗,慄
砾,礫
篱,籬
雳,靂
鲤,鯉
沥,瀝
鳢,鱧
坜,壢
栎,櫟
疬,癧
疠,癘
苈,藶
莅,蒞
鲡,鱺
蓠,蘺
缡,縭
骊,驪
轹,轢
粝,糲
枥,櫪
跞,躒
锂,鋰
俪,儷
郦,酈
鹂,鸝
砺,礪
呖,嚦
牦,犛
蛎,蠣
逦,邐
,lia
俩,倆
,lian
链,鏈
莲,蓮
怜,憐
